FIPS,State,"County, State",2019 Food Insecurity Rate,# of Food Insecure Persons in 2019,2019 Child food insecurity rate,# of Food Insecure Children in 2019
17001,IL,"Adams County, Illinois",11.10%,"7,310",13.80%,"2,060"
17003,IL,"Alexander County, Illinois",16.30%,"1,020",28.60%,420
17005,IL,"Bond County, Illinois",10.70%,"1,770",14.60%,460
17007,IL,"Boone County, Illinois",8.70%,"4,650",11.50%,"1,550"
17009,IL,"Brown County, Illinois",8.40%,560,10.50%,120
17011,IL,"Bureau County, Illinois",10.70%,"3,550",14.70%,"1,050"
17013,IL,"Calhoun County, Illinois",12.00%,580,15.50%,160
17015,IL,"Carroll County, Illinois",10.40%,"1,500",11.90%,330
17017,IL,"Cass County, Illinois",10.40%,"1,300",12.60%,380
17019,IL,"Champaign County, Illinois",11.20%,"23,510",11.70%,"4,620"
17021,IL,"Christian County, Illinois",11.30%,"3,730",13.50%,910
17023,IL,"Clark County, Illinois",11.40%,"1,790",15.10%,550
17025,IL,"Clay County, Illinois",14.00%,"1,860",18.20%,550
17027,IL,"Clinton County, Illinois",8.50%,"3,220",9.50%,750
17029,IL,"Coles County, Illinois",14.20%,"7,280",17.20%,"1,600"
17031,IL,"Cook County, Illinois",9.30%,"481,720",12.30%,"140,400"
17033,IL,"Crawford County, Illinois",11.10%,"2,100",13.20%,500
17035,IL,"Cumberland County, Illinois",11.40%,"1,230",13.70%,340
17037,IL,"DeKalb County, Illinois",10.90%,"11,370",12.70%,"2,850"
17039,IL,"De Witt County, Illinois",10.40%,"1,650",13.60%,470
17041,IL,"Douglas County, Illinois",9.60%,"1,880",11.30%,560
17043,IL,"DuPage County, Illinois",6.10%,"56,610",5.40%,"11,380"
17045,IL,"Edgar County, Illinois",11.50%,"2,000",14.50%,510
17047,IL,"Edwards County, Illinois",10.50%,680,12.50%,190
17049,IL,"Effingham County, Illinois",9.90%,"3,390",11.50%,930
17051,IL,"Fayette County, Illinois",13.10%,"2,830",18.30%,810
17053,IL,"Ford County, Illinois",12.30%,"1,630",16.30%,490
17055,IL,"Franklin County, Illinois",15.70%,"6,120",19.90%,"1,720"
17057,IL,"Fulton County, Illinois",12.20%,"4,280",15.90%,"1,110"
17059,IL,"Gallatin County, Illinois",15.90%,810,22.30%,230
17061,IL,"Greene County, Illinois",11.70%,"1,530",14.90%,410
17063,IL,"Grundy County, Illinois",8.40%,"4,250",8.80%,"1,130"
17065,IL,"Hamilton County, Illinois",11.40%,930,12.90%,230
17067,IL,"Hancock County, Illinois",11.60%,"2,080",16.40%,620
17069,IL,"Hardin County, Illinois",14.20%,560,19.20%,130
17071,IL,"Henderson County, Illinois",9.90%,680,13.10%,160
17073,IL,"Henry County, Illinois",10.10%,"4,980",13.40%,"1,470"
17075,IL,"Iroquois County, Illinois",11.10%,"3,100",13.60%,820
17077,IL,"Jackson County, Illinois",14.90%,"8,620",18.80%,"2,000"
17079,IL,"Jasper County, Illinois",12.90%,"1,230",15.10%,340
17081,IL,"Jefferson County, Illinois",13.20%,"5,030",20.20%,"1,700"
17083,IL,"Jersey County, Illinois",9.70%,"2,120",11.90%,540
17085,IL,"Jo Daviess County, Illinois",9.60%,"2,070",11.40%,470
17087,IL,"Johnson County, Illinois",10.70%,"1,340",14.80%,340
17089,IL,"Kane County, Illinois",7.00%,"37,020",8.70%,"11,950"
17091,IL,"Kankakee County, Illinois",11.10%,"12,270",15.10%,"3,850"
17093,IL,"Kendall County, Illinois",4.20%,"5,330",5.00%,"1,810"
17095,IL,"Knox County, Illinois",13.50%,"6,840",18.10%,"1,810"
17097,IL,"Lake County, Illinois",7.00%,"49,020",7.50%,"12,830"
17099,IL,"LaSalle County, Illinois",11.60%,"12,700",15.40%,"3,650"
17101,IL,"Lawrence County, Illinois",13.70%,"2,200",19.60%,570
17103,IL,"Lee County, Illinois",11.10%,"3,830",13.10%,890
17105,IL,"Livingston County, Illinois",12.20%,"4,380",15.70%,"1,220"
17107,IL,"Logan County, Illinois",10.30%,"2,970",12.60%,710
17109,IL,"McDonough County, Illinois",13.20%,"4,020",14.20%,740
17111,IL,"McHenry County, Illinois",6.70%,"20,670",7.30%,"5,340"
17113,IL,"McLean County, Illinois",9.50%,"16,340",9.50%,"3,530"
17115,IL,"Macon County, Illinois",12.80%,"13,510",18.60%,"4,370"
17117,IL,"Macoupin County, Illinois",11.70%,"5,310",15.40%,"1,490"
17119,IL,"Madison County, Illinois",10.80%,"28,500",13.70%,"7,970"
17121,IL,"Marion County, Illinois",13.80%,"5,200",19.60%,"1,700"
17123,IL,"Marshall County, Illinois",10.10%,"1,180",13.50%,320
17125,IL,"Mason County, Illinois",12.90%,"1,750",18.00%,510
17127,IL,"Massac County, Illinois",14.30%,"2,030",18.40%,590
17129,IL,"Menard County, Illinois",9.70%,"1,200",13.10%,350
17131,IL,"Mercer County, Illinois",10.10%,"1,570",13.10%,440
17133,IL,"Monroe County, Illinois",6.30%,"2,140",5.50%,420
17135,IL,"Montgomery County, Illinois",13.00%,"3,730",18.70%,"1,080"
17137,IL,"Morgan County, Illinois",12.10%,"4,150",16.50%,"1,070"
17139,IL,"Moultrie County, Illinois",8.60%,"1,260",9.90%,360
17141,IL,"Ogle County, Illinois",9.90%,"5,050",12.50%,"1,440"
17143,IL,"Peoria County, Illinois",11.40%,"20,920",15.60%,"6,800"
17145,IL,"Perry County, Illinois",13.10%,"2,790",18.70%,760
17147,IL,"Piatt County, Illinois",7.80%,"1,270",8.50%,310
17149,IL,"Pike County, Illinois",11.90%,"1,870",14.60%,520
17151,IL,"Pope County, Illinois",14.70%,620,19.00%,120
17153,IL,"Pulaski County, Illinois",14.70%,810,24.40%,290
17155,IL,"Putnam County, Illinois",9.50%,540,13.40%,150
17157,IL,"Randolph County, Illinois",10.80%,"3,490",14.90%,920
17159,IL,"Richland County, Illinois",13.10%,"2,070",14.20%,520
17161,IL,"Rock Island County, Illinois",10.90%,"15,750",15.80%,"5,090"
17163,IL,"St. Clair County, Illinois",10.60%,"27,690",16.60%,"10,290"
17165,IL,"Saline County, Illinois",16.20%,"3,880",21.70%,"1,130"
17167,IL,"Sangamon County, Illinois",11.20%,"22,010",15.80%,"6,990"
17169,IL,"Schuyler County, Illinois",14.20%,990,14.30%,190
17171,IL,"Scott County, Illinois",11.30%,560,15.00%,160
17173,IL,"Shelby County, Illinois",10.10%,"2,180",11.30%,520
17175,IL,"Stark County, Illinois",12.30%,670,17.60%,210
17177,IL,"Stephenson County, Illinois",11.40%,"5,160",16.00%,"1,550"
17179,IL,"Tazewell County, Illinois",9.30%,"12,370",10.60%,"3,210"
17181,IL,"Union County, Illinois",14.10%,"2,400",18.90%,680
17183,IL,"Vermilion County, Illinois",13.20%,"10,200",19.90%,"3,660"
17185,IL,"Wabash County, Illinois",11.60%,"1,340",12.50%,320
17187,IL,"Warren County, Illinois",10.70%,"1,840",13.30%,500
17189,IL,"Washington County, Illinois",8.00%,"1,120",8.80%,270
17191,IL,"Wayne County, Illinois",12.50%,"2,060",17.30%,650
17193,IL,"White County, Illinois",12.40%,"1,710",15.90%,480
17195,IL,"Whiteside County, Illinois",10.20%,"5,730",13.00%,"1,620"
17197,IL,"Will County, Illinois",5.60%,"38,860",7.20%,"12,550"
17199,IL,"Williamson County, Illinois",12.70%,"8,490",16.00%,"2,350"
17201,IL,"Winnebago County, Illinois",12.10%,"34,520",17.60%,"11,820"
17203,IL,"Woodford County, Illinois",7.70%,"2,970",8.20%,770
17,IL,Illinois,9.60%,"1,211,410",12.00%,"336,810"
